time_ms,latent,correlation_with_log_rt
-128.33876037597656,z2,0.09090477156032037
-124.42996978759766,z2,0.09066631105418119
-120.52117156982422,z2,0.09091118040586865
-116.61238098144531,z2,0.09190603129770464
-112.70358276367188,z2,0.09375467834620979
-108.79478454589844,z2,0.09658206661093649
-104.88599395751953,z2,0.1002868037834182
-100.9771957397461,z2,0.1046155248799389
-97.06840515136719,z2,0.10909420646432956
-93.15960693359375,z2,0.11293134538440128
-89.25081634521484,z2,0.11567657148078622
-85.3420181274414,z2,0.1174239515117722
-81.4332275390625,z2,0.1185964964151186
-77.52442932128906,z2,0.11986274314422381
-73.61563873291016,z2,0.12213298300197657
-69.70684051513672,z2,0.12623620066910915
-65.79804229736328,z2,0.1323400732648587
-61.889251708984375,z2,0.1397105387037888
-57.9804573059082,z2,0.14693014050729863
-54.07166290283203,z2,0.15232202643813136
-50.162864685058594,z2,0.1547635838535255
-46.25407028198242,z2,0.15414657332529383
-42.34527587890625,z2,0.15119501345424477
-38.43648147583008,z2,0.1470406967921713
-34.527687072753906,z2,0.14289103707949757
-30.618892669677734,z2,0.13958091324234564
-26.710098266601562,z2,0.13740694463142722
-22.80130386352539,z2,0.13634807850474867
-18.892507553100586,z2,0.13630111123912386
-14.983713150024414,z2,0.13713400644579724
-11.074918746948242,z2,0.13857985603433343
-7.166123867034912,z2,0.14035576357242827
-3.257328987121582,z2,0.14203938081371853
0.6514657735824585,z2,0.14318790289059097
4.560260772705078,z2,0.14366892358996472
8.46905517578125,z2,0.14355237005641303
12.377850532531738,z2,0.14302834963230573
16.286645889282227,z2,0.14253859569734803
20.1954402923584,z2,0.1425340908172113
24.10423469543457,z2,0.1432419319227085
28.013029098510742,z2,0.1443193522015433
31.921823501586914,z2,0.14468523569943598
35.83061981201172,z2,0.1432660810775095
39.73941421508789,z2,0.13969164926491012
43.64820861816406,z2,0.1343718351676305
47.557003021240234,z2,0.1283630115324482
51.465797424316406,z2,0.12291243330597622
55.37459182739258,z2,0.11911698981214022
59.28338623046875,z2,0.1174082189920849
63.19218063354492,z2,0.11724248921289482
67.1009750366211,z2,0.1174953428567084
71.00977325439453,z2,0.117225141400745
74.91856384277344,z2,0.116026842442262
78.82736206054688,z2,0.11418830149116767
82.73615264892578,z2,0.11248236764030022
86.64495086669922,z2,0.11156550368398624
90.55374908447266,z2,0.11161102222813005
94.46253967285156,z2,0.11232590476352466
98.371337890625,z2,0.11315652081105934
102.2801284790039,z2,0.11360160496036247
106.18892669677734,z2,0.11325275304447008
110.09771728515625,z2,0.11222250653855861
114.00651550292969,z2,0.11091961555899701
117.9153060913086,z2,0.10959112590395555
121.82410430908203,z2,0.10825372103494472
125.73290252685547,z2,0.10670233631151917
129.64169311523438,z2,0.10459174553627677
133.5504913330078,z2,0.10175187645850584
137.45928955078125,z2,0.09833148461953291
141.36807250976562,z2,0.09474890334040532
145.27687072753906,z2,0.09143750362481776
149.1856689453125,z2,0.08866261237215471
153.09446716308594,z2,0.08642213880246777
157.0032501220703,z2,0.0847099933534926
160.91204833984375,z2,0.08353511930274825
164.8208465576172,z2,0.08279720037089182
168.72964477539062,z2,0.08247144943178493
172.63844299316406,z2,0.08260739064085136
176.54722595214844,z2,0.08316422489418326
180.45602416992188,z2,0.0839984721238143
184.3648223876953,z2,0.08473954746736283
188.27362060546875,z2,0.08463162860331373
192.18240356445312,z2,0.08314452495638544
196.09120178222656,z2,0.08034434106697373
200.0,z2,0.07668586723128215
-1000.0,z3,-0.01895246309044243
-996.0911865234375,z3,-0.024096773404059392
-992.1824340820312,z3,-0.02831540195878154
-988.2736206054688,z3,-0.031507284597761094
-984.3648071289062,z3,-0.03368854497534795
-980.4560546875,z3,-0.03487644656099675
-976.5472412109375,z3,-0.03502077635086425
-972.638427734375,z3,-0.03421258082538255
-968.7296142578125,z3,-0.03271892271023732
-964.8208618164062,z3,-0.030898543535490684
-960.9120483398438,z3,-0.02903846043293651
-957.0032348632812,z3,-0.027510773300486967
-953.094482421875,z3,-0.026707883834865387
-949.1856689453125,z3,-0.026820041052468498
-945.27685546875,z3,-0.027987864127749697
-941.3681030273438,z3,-0.030282443670725242
-937.4592895507812,z3,-0.03354505321440606
-933.5504760742188,z3,-0.037224535186314744
-929.6417236328125,z3,-0.04068940378694225
-925.73291015625,z3,-0.043664238896355026
-921.8240966796875,z3,-0.046124568337892455
-917.915283203125,z3,-0.04808408680948255
-914.0065307617188,z3,-0.04964003813835628
-910.0977172851562,z3,-0.05075636108160115
-906.1889038085938,z3,-0.05134167927957491
-902.2801513671875,z3,-0.05143434702188047
-898.371337890625,z3,-0.05149372993760619
-894.4625244140625,z3,-0.05197659158438337
-890.5537719726562,z3,-0.052751487240550315
-886.6449584960938,z3,-0.053134823581335346
-882.7361450195312,z3,-0.05238420857320398
-878.8273315429688,z3,-0.05030077800991976
-874.9185791015625,z3,-0.047064374085105214
-871.009765625,z3,-0.04305587686151106
